Ticker,shortName,sector,industry,marketCap,currency,trailingPE,forwardPE,priceToBook,returnOnEquity,grossMargins,operatingMargins,revenueGrowth,earningsGrowth,lastPrice,asOfDate
1101.TW,TCC GROUP HOLDINGS CO LTD,Basic Materials,Building Materials,183140745216.0,TWD,19.796747,14.847561,0.72403437,0.0462,0.21177,0.06584,0.368,-0.73,24.35,2025-08-08
1102.TW,ASIA CEMENT CORP,Basic Materials,Building Materials,142926364672.0,TWD,11.958457,13.256578,0.8052109,0.056750003,0.15345,0.09618,0.006,-0.54,40.3,2025-08-08
1103.TW,CHIA HSIN CEMENT CORPORATION,Basic Materials,Building Materials,9156694016.0,TWD,20.746267,32.32558,0.43354854,0.02145,0.14857,-0.01084,0.076,,13.9,2025-08-08
1104.TW,UNIVERSAL CEMENT CORPORATION,Basic Materials,Building Materials,18403076096.0,TWD,12.181818,9.469965,0.7679303,0.06501,0.20145,0.13855,0.011,0.139,26.8,2025-08-08
1108.TW,LUCKY CEMENT CO.,Basic Materials,Building Materials,5747279360.0,TWD,11.451612,,1.1457156,0.10272,0.19225,0.14139,0.017,0.067,14.2,2025-08-08
1109.TW,HSING TA CEMENT CO LTD,Basic Materials,Building Materials,5458544128.0,TWD,12.598425,12.698413,0.6459688,0.04857,0.19459999,0.03195,-0.1,-0.29,16.0,2025-08-08
1110.TW,SOUTH EAST CEMENT CO LTD.,Basic Materials,Building Materials,10400437248.0,TWD,28.515625,,1.1014545,0.04165,0.17409,0.08733,0.284,0.6,18.25,2025-08-08
1201.TW,WEI CHUAN FOOD CORP,Consumer Defensive,Packaged Foods,7919885824.0,TWD,23.014706,,1.1390102,0.04664,0.27327,0.01853,-0.064,-0.75,15.65,2025-08-08
1203.TW,VE WONG CORPORATION,Consumer Defensive,Packaged Foods,9341845504.0,TWD,17.086956,22.078651,1.4746717,0.119440004,0.34537,0.20464,-0.009,-0.094,39.3,2025-08-08
1210.TW,GREAT WALL ENTERPRISE,Consumer Defensive,Packaged Foods,47775969280.0,TWD,13.466982,11.895833,1.9604477,0.13299,0.14692001,0.051820002,0.009,0.05,57.1,2025-08-08
1213.TW,OCEANIC BEVERAGES CO INC,Consumer Defensive,Beverages - Non-Alcoholic,724769280.0,TWD,1.4382024,,1.0241638,1.10946,-0.13446,-0.20748,0.983,,12.8,2025-08-08
1215.TW,CHAROEN POKPHAND ENTERPRISES CO,Consumer Defensive,Packaged Foods,34932617216.0,TWD,15.4699745,13.90845,3.4021416,0.21017,0.17813,0.134,-0.031,0.896,118.5,2025-08-08
1216.TW,UNI-PRESIDENT ENTERPRISES CORP,Consumer Defensive,Packaged Foods,444333948928.0,TWD,22.471264,18.14385,3.810916,0.16936001,0.32917,0.060760003,0.046,-0.067,78.2,2025-08-08
1217.TW,AGV PRODUCTS,Consumer Defensive,Packaged Foods,5291289088.0,TWD,46.521736,,0.7576294,0.0163,0.27958,0.023829998,0.022,,10.7,2025-08-08
1218.TW,TAISUN ENTERPRISE CO. LTD.,Consumer Defensive,Packaged Foods,9288712192.0,TWD,12.165605,15.655738,0.7495193,0.06242,0.18360001,0.046719998,-0.093,0.158,19.1,2025-08-08
1219.TW,FWUSOW INDUSTRY CO LTD,Consumer Defensive,Packaged Foods,4828517888.0,TWD,28.87755,,1.0517317,0.0196,0.092080005,0.00543,0.019,-0.322,14.15,2025-08-08
1220.TW,TAI ROUN PRODUCTS CO,Consumer Defensive,Packaged Foods,2354926848.0,TWD,17.115385,18.802818,0.9702035,0.06292,0.13343,-0.0274,0.001,,13.35,2025-08-08
1225.TW,FORMOSA OILSEED PROCESSING,Consumer Defensive,Packaged Foods,7394343936.0,TWD,20.641027,,2.035913,0.1005,0.08732,0.03446,-0.046,0.194,32.2,2025-08-08
1227.TW,STANDARD FOODS CORPORATION,Consumer Defensive,Packaged Foods,28524386304.0,TWD,17.64045,11.629629,1.5054176,0.08941,0.2495,0.06186,0.012,-0.25,31.4,2025-08-08
1229.TW,LIEN HWA INDUSTRIAL HOLDINGS CO,Industrials,Conglomerates,82191687680.0,TWD,20.422222,15.682593,1.6851255,0.06594,0.2043,0.0277,-0.205,-0.15,45.95,2025-08-08
1231.TW,LIAN HWA FOODS CORP,Consumer Defensive,Packaged Foods,40291315712.0,TWD,41.135735,,6.0424805,0.15357,0.20431,0.07707,0.076,-0.572,148.5,2025-08-08
1232.TW,TTET UNION CORP,Consumer Defensive,Packaged Foods,23836276736.0,TWD,19.275549,,4.5940866,0.24525999,0.12748,0.081709996,-0.044,-0.245,149.0,2025-08-08
1233.TW,TEN REN TEA CO,Consumer Defensive,Packaged Foods,2820601344.0,TWD,35.804596,,2.075283,0.057210002,0.58999,0.05124,-0.043,-0.259,31.15,2025-08-08
1234.TW,HEY SONG,Consumer Defensive,Beverages - Non-Alcoholic,16034654208.0,TWD,17.654867,,0.8513272,0.056020003,0.29999,0.00533,-0.155,0.399,39.9,2025-08-08
1235.TW,SHIN TAI INDUSTRY CO,Consumer Defensive,Farm Products,2349179904.0,TWD,,,0.8541122,-0.080699995,0.32383,0.02604,0.65,-0.701,62.0,2025-08-08
1236.TW,HUNYA FOODS CO,Consumer Defensive,Confectioners,1794151808.0,TWD,,,0.7444169,-0.0114,0.26058,0.020280002,-0.1,-0.348,20.7,2025-08-08
1256.TW,SUNJUICE HOLDINGS CO LIMITED,Consumer Defensive,Beverages - Non-Alcoholic,4111827200.0,TWD,15.321564,9.846029,1.166553,0.0678,0.25358,0.0435,-0.155,-0.463,121.5,2025-08-08
1301.TW,FORMOSA PLASTIC,Basic Materials,Specialty Chemicals,239033532416.0,TWD,,25.896551,0.8966093,-0.03091,0.04459,-0.03443,-0.112,,37.55,2025-08-08
1303.TW,NAN YA PLASTIC,Basic Materials,Specialty Chemicals,291854188544.0,TWD,,24.864864,0.84841496,0.00714,0.07454,0.00055,0.118,-0.635,36.8,2025-08-08
1304.TW,USI CORPORATION,Basic Materials,Specialty Chemicals,10991075328.0,TWD,,-20.5,0.5423854,-0.12235,0.04324,-0.04967,0.01,,10.25,2025-08-08
1305.TW,CHINA GENERAL PLASTICS CORP,Basic Materials,Specialty Chemicals,6362497024.0,TWD,,18.249998,0.7506169,-0.1033,-0.00634,-0.14521,-0.152,,10.95,2025-08-08
1307.TW,SAN FANG CHEMICAL,Consumer Cyclical,Textile Manufacturing,12690393088.0,TWD,8.529411,8.285714,1.2328026,0.1588,0.31457,0.1598,0.126,0.038,31.9,2025-08-08
1308.TW,ASIA POLYMER,Basic Materials,Specialty Chemicals,7035854336.0,TWD,,43.88889,0.6230284,-0.06599,0.03814,0.02378,-0.017,,11.85,2025-08-08
1309.TW,TAITA CHEMICAL,Basic Materials,Specialty Chemicals,4492733440.0,TWD,,-282.5,0.7152352,-0.0273,0.05535,-0.0153,0.117,,11.3,2025-08-08
1310.TW,TAIWAN STYRENE MONOMER,Basic Materials,Chemicals,4756108800.0,TWD,,34.653847,0.6434336,-0.07293,-0.04315,-0.09083,0.03,,9.01,2025-08-08
1312.TW,GRAND PACIFIC PETROCHEMICAL,Basic Materials,Chemicals,10937009152.0,TWD,,14.439393,0.3258788,-0.05293,0.01058,-0.12696,0.751,,9.53,2025-08-08
1313.TW,UPC TECHNOLOGY CO,Basic Materials,Chemicals,12778319872.0,TWD,,-10.010417,0.5197966,-0.05298,0.015800001,-0.016619999,-0.265,,9.61,2025-08-08
1314.TW,CHINA PETROCHEMICAL DEVELOPMENT,Basic Materials,Specialty Chemicals,26948130816.0,TWD,712.0,4.0919538,0.33946788,-0.00021,-0.00264,-0.084189996,-0.183,,7.12,2025-08-08
1315.TW,TAHHSIN INDUSTRIAL CORP,Consumer Cyclical,Apparel Manufacturing,6295229440.0,TWD,34.867725,,0.6926416,0.01908,0.14039,-0.028239999,0.188,-0.628,65.9,2025-08-08
1316.TW,SUN YAD CONSTRUCTION CO LTD,Real Estate,Real Estate Services,4651219968.0,TWD,,60.90909,1.147555,0.04216,0.40935,-0.02293,2.325,,13.4,2025-08-08
1319.TW,TONG YANG INDUSTRY,Consumer Cyclical,Auto Parts,61513605120.0,TWD,13.1645565,14.227086,2.108507,0.16701001,0.34514,0.24328,0.181,0.251,104.0,2025-08-08
1321.TW,OCEAN PLASTICS,Basic Materials,Specialty Chemicals,8275687424.0,TWD,1875.0,,1.3929129,0.00084,0.07675,-0.0072399997,-0.109,,37.5,2025-08-08
1323.TW,YONYU PLASTICS,Consumer Cyclical,Packaging & Containers,1785870592.0,TWD,7.6757812,5.813609,0.6853137,0.08494,0.14192,-0.02636,-0.312,-0.808,19.65,2025-08-08
1324.TW,GLOBE INDUSTRIES CORPORATION,Industrials,Business Equipment & Supplies,818829760.0,TWD,1090.0,,0.8611835,0.00088,0.17627001,-0.03944,-0.072,,10.9,2025-08-08
1325.TW,UNIVERSAL INC,Consumer Cyclical,Textile Manufacturing,2490205184.0,TWD,,,0.9304994,-0.02913,-0.14177,-0.20142001,-0.147,,29.2,2025-08-08
1326.TW,FORMOSA CHEMICAL & FIBRE CO,Basic Materials,Chemicals,156753723392.0,TWD,,25.52381,0.57358104,-0.0022200001,0.03914,-0.00567,-0.06,,26.8,2025-08-08
1337.TW,ASIA PLASTIC RECYCLING HOLDING ,Basic Materials,Specialty Chemicals,1465804800.0,TWD,,,0.35648873,-0.10079,-0.14884,-0.52725,-0.293,,5.45,2025-08-08
1338.TW,HIROCA HOLDINGS LTD,Consumer Cyclical,Auto Parts,1837267200.0,TWD,,2.6392112,0.30472696,-0.0038800002,0.23146,0.001,0.121,,22.75,2025-08-08
1339.TW,Y.C.C. PARTS MFG CO LTD,Consumer Cyclical,Auto Parts,3683962880.0,TWD,11.918466,15.482866,0.9277927,0.070989996,0.36722,0.2314,-0.034,-0.464,49.7,2025-08-08
1340.TW,VICTORY NEW MATLS LTD CO,Consumer Cyclical,Footwear & Accessories,955768832.0,TWD,,,0.31595975,-0.22219,-0.21843,-0.67221,-0.199,,6.25,2025-08-08
1341.TW,FULIN PLASTIC INDUSTRY(CAYMAN) ,Consumer Cyclical,Textile Manufacturing,3329613056.0,TWD,12.233009,,2.6720958,0.22572,0.21426001,0.11035,0.139,-0.113,63.0,2025-08-08
1342.TW,CATHAY CONSOLIDATED INC,Consumer Cyclical,Textile Manufacturing,6743724032.0,TWD,15.480944,9.627541,2.9565701,0.19752,0.28618,0.1766,0.139,-0.498,85.3,2025-08-08
1402.TW,FAR EASTERN NEW CENTURY CORPORA,Consumer Cyclical,Textile Manufacturing,154140475392.0,TWD,13.521126,13.980582,0.6459427,0.061300002,0.20945999,0.09837,-0.026,0.447,28.8,2025-08-08
1409.TW,SHINKONG SYNTHETIC FIBER,Consumer Cyclical,Textile Manufacturing,20494370816.0,TWD,11.651376,,0.5447137,0.05402,0.2408,0.11542,-0.038,0.121,12.7,2025-08-08
1410.TW,NAN-YANG DYEING & FINISHING,Consumer Cyclical,Textile Manufacturing,2182400000.0,TWD,81.860466,,2.0907578,0.024030002,0.34614,-0.044510003,-0.082,-0.653,35.2,2025-08-08
1413.TW,HUNG CHOU FIBER IND. CO.  LTD,Consumer Cyclical,Textile Manufacturing,1525893632.0,TWD,31.216217,,1.4229397,-0.02014,0.01792,0.01171,-0.051,,11.55,2025-08-08
1414.TW,TUNG HOTEXTILE CO. LTD.,Consumer Cyclical,Textile Manufacturing,3872000000.0,TWD,110.00001,,1.4562303,0.010720001,0.12613,-0.0011,-0.048,,17.6,2025-08-08
1416.TW,KWONG FONG INDUSTRIES,Technology,Information Technology Services,2159234304.0,TWD,15.328947,,0.48192272,0.03861,0.35377,-0.03173,0.039,-0.2,11.65,2025-08-08
1417.TW,CARNIVAL (TW),Consumer Cyclical,Apparel Retail,1523334912.0,TWD,,,0.61432403,-0.04798,0.14518,-0.10255,-0.401,,8.02,2025-08-08
1418.TW,TONGHWA CORPORATION,Consumer Cyclical,Textile Manufacturing,1289886208.0,TWD,55.232555,,1.0212418,0.01858,-0.68025,-5.86514,-0.265,,23.75,2025-08-08
1419.TW,SHINKONG TEXTILE CO. LTD.,Consumer Cyclical,Textile Manufacturing,15590246400.0,TWD,17.781569,,1.0170021,0.06034,0.29427,0.09967,0.235,0.1,52.1,2025-08-08
1423.TW,REWARD WOOL,Consumer Cyclical,Textile Manufacturing,3741782272.0,TWD,19.867725,,1.1572719,0.04789,-0.20812,-0.41949,-0.294,35.854,37.55,2025-08-08
1432.TW,TRK CORPORATION,Consumer Cyclical,Leisure,1803600128.0,TWD,6.0071945,,1.7732003,-0.05357,0.39854,0.03568,0.049,,16.7,2025-08-08
